GEO_ID,County,Mean Income
0500000US05051,"Garland County, Arkansas",62899
0500000US05053,"Grant County, Arkansas",66845
0500000US05055,"Greene County, Arkansas",58805
0500000US05057,"Hempstead County, Arkansas",52426
0500000US05059,"Hot Spring County, Arkansas",54707
0500000US05061,"Howard County, Arkansas",59294
0500000US05063,"Independence County, Arkansas",59214
0500000US05065,"Izard County, Arkansas",50944
0500000US05067,"Jackson County, Arkansas",52085
0500000US05069,"Jefferson County, Arkansas",53194
0500000US05071,"Johnson County, Arkansas",49280
0500000US05073,"Lafayette County, Arkansas",59077
0500000US05075,"Lawrence County, Arkansas",50287
0500000US05077,"Lee County, Arkansas",41798
0500000US05079,"Lincoln County, Arkansas",54584
0500000US05081,"Little River County, Arkansas",59113
0500000US05083,"Logan County, Arkansas",52645
0500000US05085,"Lonoke County, Arkansas",69490
0500000US05087,"Madison County, Arkansas",61519
0500000US05089,"Marion County, Arkansas",45432
0500000US05091,"Miller County, Arkansas",56997
0500000US05093,"Mississippi County, Arkansas",52080
0500000US05095,"Monroe County, Arkansas",47475
0500000US05097,"Montgomery County, Arkansas",51753
0500000US05099,"Nevada County, Arkansas",45112
0500000US05101,"Newton County, Arkansas",47959
0500000US05103,"Ouachita County, Arkansas",49607
0500000US05105,"Perry County, Arkansas",56931
0500000US05107,"Phillips County, Arkansas",44626
0500000US05109,"Pike County, Arkansas",52727
0500000US05111,"Poinsett County, Arkansas",47721
0500000US05113,"Polk County, Arkansas",48496
0500000US05115,"Pope County, Arkansas",57914
0500000US05117,"Prairie County, Arkansas",52656
0500000US05119,"Pulaski County, Arkansas",74959
0500000US05121,"Randolph County, Arkansas",50329
0500000US05123,"St. Francis County, Arkansas",45472
0500000US05125,"Saline County, Arkansas",75741
0500000US05127,"Scott County, Arkansas",44300
0500000US05129,"Searcy County, Arkansas",48021
0500000US05131,"Sebastian County, Arkansas",61626
0500000US05133,"Sevier County, Arkansas",57655
0500000US05135,"Sharp County, Arkansas",47567
0500000US05137,"Stone County, Arkansas",49251
0500000US05139,"Union County, Arkansas",59213
0500000US05141,"Van Buren County, Arkansas",50038
0500000US05143,"Washington County, Arkansas",72364
0500000US05145,"White County, Arkansas",62025
0500000US05147,"Woodruff County, Arkansas",47914
0500000US05149,"Yell County, Arkansas",58585
0500000US06001,"Alameda County, California",122575
0500000US06003,"Alpine County, California",92738
0500000US06005,"Amador County, California",78014
0500000US06007,"Butte County, California",69621
0500000US06009,"Calaveras County, California",79782
